age,condition,n,M5 fkgl_pass%,M6 story_elements_pass%,M10 goal_mention_pass%,M11 goal_action_pass%,M13 safe_pass%,all_pass%,cohesion_mean,aoa_coverage_pct_mean
10,baseline,24,8.3,100.0,100.0,100.0,100.0,0.0,0.021,90.299
10,full,24,0.0,91.7,100.0,100.0,100.0,0.0,0.021,91.707
6,baseline,24,79.2,95.8,95.8,100.0,100.0,0.0,0.027,87.965
6,full,24,95.8,100.0,95.8,100.0,100.0,0.0,0.024,90.237
8,baseline,24,66.7,95.8,100.0,100.0,100.0,0.0,0.023,90.311
8,full,24,66.7,95.8,100.0,100.0,100.0,0.0,0.025,91.276
